document_title	date	issue_name_from_titles	cluster_id	category
"'타코'에 폭주하는 트럼프…""외국산 철강 관세 25→50%로 인상"""	20250531	트럼프 관세 정책 및 미중 무역 갈등	23	경제 일반
올해 벌써 8조… K바이오 기술 수출, 다시 10조 찍나	20250531	바이오산업 혁신 및 글로벌 확장 (홍보 클러스터)	29	경제 일반
美FDA, 백신 회의론 뚫고 모더나 차세대 코로나 백신 승인	20250531	바이오산업 혁신 및 글로벌 확장 (홍보 클러스터)	29	경제 일반
전국 누비는 수소버스...작년 1044대 보급, 수소 충전소도 증가세	20250531	에너지 전환 및 신재생 에너지 확대	46	경제 일반
"美재무·상무, 日경제재생상과 통상 회담…""솔직·건설적 논의"""	20250531	한미 관세 협상 및 다자무역 체제 논의	22	경제 일반
"미일, 워싱턴서 4차 관세협상…""내달 G7 정상회담 전 다시 협의""(종합)"	20250531	한미 관세 협상 및 다자무역 체제 논의	22	경제 일반
美 주식 저가매수에 1분기 기관 해외 증권투자 100억달러↑ [Pick코노미]	20250531	해외증권투자 증가 및 유상증자 확대	30	경제 일반
“절세 기회 놓치면 후회”… 저쿠폰국채에 7472억 ‘쏠림 현상’ [AI PRISM*금융상품 투자자 뉴스]	20250531	해외증권투자 증가 및 유상증자 확대	30	경제 일반
OPEC+ 8개국, 7월도 하루 41만1천배럴 증산…3개월 연속	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
"레고랜드 사태·비상계엄 위기 넘긴 ‘F4회의’…""3년간 141회 열렸다"""	20250531	금융시장 변동성 및 F4 회의 대응	6	경제 일반
새로 개통한 휴대전화 넘겼더니…불법사금융으로 5천만원 가로채	20250531	경제범죄 및 부패	42	경제 일반
"美中 '제네바합의' 이견…""中이 위반"" vs ""美, 차별조치 멈추라""(종합2보)"	20250531	트럼프 관세 정책 및 미중 무역 갈등	23	경제 일반
"美中 '통상합의' 좌초 위기…""中이 위반"" vs ""美가 차별적 조치""(종합3보)"	20250531	트럼프 관세 정책 및 미중 무역 갈등	23	경제 일반
"美中 '제네바합의' 이견…""中이 위반"" vs ""美, 차별조치 멈추라""(종합)"	20250531	트럼프 관세 정책 및 미중 무역 갈등	23	경제 일반
서울 아파트값 17주째 들썩…후보들 '부동산 정책' 입장은	20250531	부동산 시장 양극화 및 규제 강화	48	경제 일반
[사설] 트럼프 관세 오락가락…산업 경쟁력 강화가 일관된 해법	20250531	트럼프 관세 정책 및 미중 무역 갈등	23	경제 일반
"월가 황제 다이먼 ""채권 시장 균열 우려…내부의 적 있다"""	20250531	미국 신용등급 강등 및 국채 시장 불안	32	경제 일반
현대건설, 가덕도 신공항 사업 철수… “공기단축 불가”	20250531	가덕도신공항 건설 지연 및 재입찰 논란	14	경제 일반
한남5구역, DL이앤씨가 짓는다…조합원 총회서 선정	20250531	부동산 시장 양극화 및 재개발 경쟁	47	경제 일반
주택 공급 지표 줄줄이 감소… 악성 미분양 12년 만에 최대	20250531	부동산 시장 양극화 및 재개발 경쟁	47	경제 일반
한남5구역 재개발 시공사에 'DL이앤씨' 선정	20250531	부동산 시장 양극화 및 재개발 경쟁	47	경제 일반
한남5구역, DL이앤씨가 짓는다…조합원 총회서 선정	20250531	부동산 시장 양극화 및 재개발 경쟁	47	경제 일반
‘대마커피’ 뭐길래…카페서 사라진줄 알았더니 온라인엔 버젓이 용어 사용	20250531	소비 위축 및 내수 침체	34	경제 일반
소비 심리 위축…백화점·대형마트 판매 감소	20250531	소비 위축 및 내수 침체	34	경제 일반
"현대차 대형 전기차 '아이오닉9' 美서 첫 인도…""시장공략 가속"""	20250531	자동차 산업 구조조정 및 전기차 시장 변화	21	경제 일반
"'엔진 발전기'로 주행거리 늘린 친환경차 EREV…""전기차 대안"""	20250531	자동차 산업 구조조정 및 전기차 시장 변화	21	경제 일반
"현대차 대형 전기차 '아이오닉9' 美서 첫 인도…""시장공략 가속"""	20250531	자동차 산업 구조조정 및 전기차 시장 변화	21	경제 일반
"'자동차판 헝다 사태' 우려에…中 ""출혈경쟁 단속"""	20250531	자동차 산업 구조조정 및 전기차 시장 변화	21	경제 일반
동남권원자력의학원, 차세대 표적 방사성 치료 시작	20250531	바이오산업 혁신 및 글로벌 확장 (홍보 클러스터)	29	경제 일반
삼겹살 식당에서 소주 ‘짠’… 한국 아니라 필리핀이라고?[동아리]	20250531	K-푸드와 음료 가격 인상 (홍보 클러스터)	33	경제 일반
[단독] 올 여름 '추성훈 스무디'로 붙는다…편의점, 추가 매출 확대 경쟁	20250531	소비 위축 및 내수 침체	34	경제 일반
‘건보 15조 지출’ 간병비 논란...복지부 어떻게 계산했나	20250531	출산율 반등 및 육아 지원 정책	12	경제 일반
“다음주 더 떨어진다”…주유소 기름값 3주 연속 하락	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
주유소 기름값 3주째 소폭 하락…경유 5개월 만에 1천400원대로	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
기름값 3주째 소폭 하락…경유 5개월 만에 1,400원대	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
[연합뉴스 이 시각 헤드라인] - 10:30	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
주유소 기름값 3주째 소폭 하락…“미 관세 불확실성 지속”	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
[뉴욕유가] OPEC+ 증산ㆍ미중 무역갈등 재점화 우려…WTI 0.25%↓	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
주유소 기름값 3주째 하락세…경유 5개월 만에 1천400원	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
주유소 기름값 3주째 소폭 하락…경유 5개월만에 1천400원대로	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
주유소 기름값 3주 연속 하락… 경유 1400원대로	20250531	유가 변동성 및 OPEC+ 증산 정책	0	경제 일반
